L,1.8605191986477392
G,1.7063168435595584
V,0.9416305676615729
X,0.2561413000151559
J,0.23369676918252258
W,0.1466022763189051
R,0.1447219996841814
K,0.04906767929518265
I,0.04818265390417176
O,-0.023689496775950877
N,-0.07822734646438216
H,-0.08174005313678466
Q,-0.09029070274592876
A,-0.09664306689972885
T,-0.12037035235359406
Y,-0.12252035894140162
B,-0.34428865868688374
D,-0.3514235768843377
E,-0.37068643080303254
S,-0.4198146094389566
M,-0.4570718912469822
F,-0.5020774093200979
Z,-0.5020774093200979
U,-0.5808838148311944
C,-0.6078722348967701
P,-0.6372018755228768
